Box Number,Sample Type,Species,Reagent,SampleID,Date Stockage,Notes,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB131,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB132,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB133,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL148,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL149,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL150,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL151,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL152,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL153,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL154,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL155,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL156,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL157,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL158,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL159,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL160,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL161,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL162,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL163,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL164,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL165,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL166,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL167,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL168,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL169,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL170,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL171,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL172,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL173,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL174,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL175,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL176,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL177,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL178,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,KEL179,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB125,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB126,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB127,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB128,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB129,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB130,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB131,3/2/18,vial broke when removing from azote; transferred to new vial,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB132,3/2/18,vial broke when removing from azote; transferred to new vial,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,ANGB133,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL148,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL149,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL150,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL151,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL151,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL152,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL153,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL154,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL155,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL156,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL157,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL158,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL159,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL160,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL161,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL162,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL163,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL164,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL165,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL166,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL167,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL168,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL169,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL170,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL171,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL172,3/2/18,vial broke when removing from azote; transferred to new vial,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL173,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL174,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL175,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL176,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL177,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL178,3/2/18,,,,,,,,
ED-RNA-BLD-1,Whole Blood,Eidolon dupreanum,RNA-protect,KEL179,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB125,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB126,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB127,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB128,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB129,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB130,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB131,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB132,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,ANGB133,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL148,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL149,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL150,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL151,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL152,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL153,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL154,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL155,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL156,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL157,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL158,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL159,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL160,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL161,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL162,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL163,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL164,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL165,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL166,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL167,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL168,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL169,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL170,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL171,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL172,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL173,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL174,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL175,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL176,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL177,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL178,3/2/18,,,,,,,,
ED-PEL-A-1,Blood Pellet A,Eidolon dupreanum,raw,KEL179,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB125,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB126,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB127,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB128,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB129,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB130,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB131,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB132,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,ANGB133,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL148,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL149,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL150,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL151,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL152,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL153,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL154,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL155,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL156,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL157,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL158,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL159,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL160,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL161,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL162,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL163,3/2/18,,,,,,,,
ED-PEL-B-1,Blood Pellet B,Eidolon dupreanum,raw,KEL164,3/2/18,,,,,,,,
