Box Number,Sample Type,Species,Reagent,SampleID,Date Stockage,Notes,,,,,,,
PR-FEC-1,Feces,Asio madagascariensis,UTM,AMAK_001,4/25/18,,,,,,,,
PR-RNA-BLD-1,Whole Blood,Asio madagascariensis,RNA-protect,AMAK_001,4/25/18,,,,,,,,
PR-THR-1,Throat,Asio madagascariensis,UTM,AMAK_001,4/25/18,,,,,,,,
PR-SER-A-1,Serum A,Asio madagascariensis,raw,AMAK_001,4/25/18,,,,,,,,
PR-SER-B-1,Serum B,Asio madagascariensis,raw,AMAK_001,4/25/18,,,,,,,,
PR-PEL-A-1,Blood Pellet A,Asio madagascariensis,raw,AMAK_001,4/25/18,,,,,,,,
PR-PEL-B-1,Blood Pellet B,Asio madagascariensis,raw,AMAK_001,4/25/18,,,,,,,,
PR-SER-A-1,Serum A,Asio madagascariensis,raw,AMAK001,8/10/18,Not yet heat-treated,,,,,,,
ED-SER-A-2,Serum A,Eidolon dupreanum,raw,ANGB156,9/28/10,,,,,,,,
ED-SER-A-2,Serum A,Eidolon dupreanum,raw,ANGB157,9/28/10,,,,,,,,
ED-SER-A-2,Serum A,Eidolon dupreanum,raw,ANGB158,9/28/10,,,,,,,,
ED-SER-A-2,Serum A,Eidolon dupreanum,raw,ANGB159,9/28/10,,,,,,,,
ED-SER-A-2,Serum A,Eidolon dupreanum,raw,ANGB160,9/28/10,,,,,,,,
ED-SER-A-2,Serum A,Eidolon dupreanum,raw,ANGB161,9/28/10,,,,,,,,
ED-SER-A-2,Serum A,Eidolon dupreanum,raw,ANGB162,9/28/10,,,,,,,,
ED-SER-A-2,Serum A,Eidolon dupreanum,raw,ANGB163,9/28/10,,,,,,,,
ED-SER-B-2,Serum B,Eidolon dupreanum,raw,ANGB156,9/28/10,,,,,,,,
ED-SER-B-2,Serum B,Eidolon dupreanum,raw,ANGB157,9/28/10,,,,,,,,
ED-SER-B-2,Serum B,Eidolon dupreanum,raw,ANGB158,9/28/10,,,,,,,,
ED-SER-B-2,Serum B,Eidolon dupreanum,raw,ANGB159,9/28/10,,,,,,,,
ED-SER-B-2,Serum B,Eidolon dupreanum,raw,ANGB160,9/28/10,,,,,,,,
ED-SER-B-2,Serum B,Eidolon dupreanum,raw,ANGB161,9/28/10,,,,,,,,
ED-SER-B-2,Serum B,Eidolon dupreanum,raw,ANGB162,9/28/10,,,,,,,,
ED-SER-B-2,Serum B,Eidolon dupreanum,raw,ANGB163,9/28/10,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB125,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB126,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB127,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB128,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB129,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB130,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB131,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB132,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,ANGB133,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL148,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL150,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL151,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL152,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL153,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL154,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL155,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL156,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL157,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL158,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL159,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL160,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL161,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL162,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL163,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL164,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL165,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL166,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL167,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL168,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL169,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL170,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL171,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL172,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL173,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL174,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL175,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL176,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL177,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL178,3/2/18,,,,,,,,
ED-FEC-1,Feces,Eidolon dupreanum,UTM,KEL179,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB125,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB126,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB127,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB128,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB129,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB130,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB131,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB132,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,ANGB133,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL148,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL149,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL150,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL151,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL152,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL153,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL154,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL155,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL156,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL157,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL158,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL159,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL160,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL161,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL162,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL163,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL164,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL165,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL166,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL167,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL168,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL169,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL170,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL171,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL172,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL173,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL174,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL175,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL176,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL177,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL178,3/2/18,,,,,,,,
ED-THR-1,Throat,Eidolon dupreanum,UTM,KEL179,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL149,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL153,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL154,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL156,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL157,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL159,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL160,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL161,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL163,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL165,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL166,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL168,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL169,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL170,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL171,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL174,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL177,3/2/18,,,,,,,,
ED-UR-1,Urine,Eidolon dupreanum,UTM,KEL178,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB125,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB126,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB127,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB128,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB129,3/2/18,,,,,,,,
ED-WP-1,Wing Punch,Eidolon dupreanum,EtOH,ANGB130,3/2/18,,,,,,,,
