sample_name,plate
KEL279_urine,2
KEL285_urine,2
KEL287_urine,2
KEL289_urine,2
KEL290_urine,2
KEL291_urine,2
KEL293_urine,2
KEL279B_urine,2
KEL280B_urine-1,2
KEL281B_urine,2
KEL283B_urine,2
KEL285B_urine,2
KEL286B_urine,2
KEL291B_urine,2
KEL299B_urine,2
KEL272B_urine,2
KEL275B_urine,2
KEL278B_urine,2
KEL228_urine,2
KEL265_urine,2
KEL298_urine,2
KEL299_urine,2
KEL242_urine,2
KEL245_urine,2
KEL247_urine,2
KEL248_urine,2
KEL250_urine,2
ANGB155_urine,2
ANGB158_urine,2
KEL223_urine,2
KEL227_urine,2
KEL234_urine-1,2
KEL235_urine,2
KEL236_urine,2
ANGB135_urine,2
ANGB141_urine,2
ANGB142_urine,2
KEL216_urine,2
KEL226_urine,2
KEL230_urine,2
KEL200_urine,2
KEL202_urine,2
KEL204_urine,2
KEL206_urine,2
KEL208_urine,2
KEL209_urine,2
KEL211_urine,2
KEL212_urine,2
KEL184_urine,2
KEL186_urine,2
KEL187_urine,2
KEL192_urine,2
KEL193_urine,2
KEL194_urine,2
KEL196_urine,2
KEL197_urine,2
KEL149_urine,2
KEL153_urine,2
KEL154_urine,2
KEL156_urine,2
KEL157_urine,2
KEL159_urine-1,2
KEL161_urine,2
KEL163_urine,2
KEL164_urine,2
KEL165_urine,2
KEL166_urine,2
KEL168_urine,2
KEL169_urine,2
KEL170_urine,2
KEL171_urine,2
KEL173_urine,2
AMB160_urine,2
AMB162_urine,2
KEL309_urine,2
KEL310_urine,2
KEL312_urine,2
KEL315_urine,2
KEL318_urine,2
KEL322_urine,2
AMB170_urine,2
AMB171_urine,2
KEL334_urine,2
KEL305_urine,2
KEL306_urine,2
KEL317_urine,2
MLB005_urine,2
MLB006_urine,2
AMB159_urine-1,2
AMB165_urine,2
AMB172_urine,2
AMB173_urine,2
AMB174_urine,2
MLB001_urine,2
MLB004_urine,2
MLB009_urine,2
KEL267_urine,2
KEL268_urine,2
KEL270_urine,2
KEL271_urine,2
KEL273_urine,2
KEL275_urine,2
KEL278_urine,2
AMB106_urine,2
AMB116_urine,2
AMB122_urine,2
AMB141_urine,2
AMB80_urine,2
MAK12_urine,2
MAK13_urine,2
AMB8_urine,2
MAH10_urine-1,2
MAH3_urine,2
MAH6_urine,2
MAH7_urine,2
MARO66_urine,2
MARO7_urine,2
MARO8_urine,2
AMB61_urine,2
AMB76_urine,2
MAH11_urine,2
MAH12_urine,2
MAH4_urine,2
MARO43_urine,2
MARO79_urine,2
MIZ142_urine,2
MIZ143_urine,2
MIZ144_urine,2
MIZ152_urine,2
MIZ151_urine,2
MIZ168_urine,2
MIZ136_urine,2
MIZ184_urine,2
MIZ281_urine-1,2
MIZ188_urine,2
MIZ190_urine,2
MIZ195_urine,2
MIZ207_urine,2
MIZ208_urine,2
MIZ225_urine,2
MIZ236_urine,2
MIZ274_urine,2
MIZ277_urine,2
MIZ278_urine,2
MIZ279_urine,2
MIZ280_urine,2
MIZ281_urine,2
MIZ291_urine-1,2
MIZ292_urine,2
MIZ293_urine,2
MIZ294_urine,2
MIZ295_urine,2
MIZ297_urine,2
MIZ151_urine,2
MIZ298_urine-1,2
MIZ300_urine-1,2
MIZ305_urine-1,2
MIZ315_urine,2
MIZ355_urine,2
MIZ322_urine,2
MIZ338_urine,2
MIZ340_urine,2
MIZ342_urine,2
MIZ345_urine,2
MIZ351_urine,2
MIZ352_urine,2
MIZ260_urine,2
MIZ261_urine,2
MIZ262_urine,2
MIZ316_urine,2
MIZ318_urine,2
MIZ357_urine,2
MIZ359_urine,2
MIZ366_urine,2
MIZ265_urine,2
MIZ267_urine,2
MIZ275_urine-1,2
MIZ378_urine,2
MIZ392_urine,2
MIZ396_urine,2
MIZ400_urine,2
KEL140_urine,2
MAH1_urine,2
MIZ401_urine,2
MIZ403_urine,2
MIZ405_urine,2
MIZ407_urine,2
MIZ408_urine,2
AMB15_urine,2
KEL232_urine,2
KEL220_urine,2
ANGB261_urine,2
KEL259_urine,2
KEL269_urine,2
KEL141_urine,2
KEL177_urine,2
KEL178_urine,2
KEL182_urine,2
KEL183_urine,2
KEL205_urine,2
KEL210_urine,2
ANGB137_urine,2
ANGB138_urine,2
MIZ305_urine,2
WATER1,2
KEL295_urine,2
KEL296_urine,2
MIZ300_urine-2,2
MIZ181_urine-2,2
MIZ298_urine-2,2
MIZ271_urine,2
MIZ275_urine-2,2
KEL266_whole_blood,2
KEL267_whole_blood,2
KEL268_whole_blood,2
KEL269_whole_blood,2
KEL270_whole_blood,2
KEL271_whole_blood,2
KEL272_whole_blood,2
KEL273_whole_blood,2
KEL274_whole_blood,2
KEL275_whole_blood,2
KEL276_whole_blood,2
KEL277_whole_blood,2
KEL278_whole_blood,2
KEL279_whole_blood,2
KEL280_whole_blood,2
KEL281_whole_blood,2
KEL292_whole_blood,2
KEL293_whole_blood,2
KEL294_whole_blood,2
KEL295_whole_blood,2
KEL296_whole_blood,2
KEL297_whole_blood-1,2
KEL298_whole_blood,2
KEL299_whole_blood,2
KEL298_whole_blood-2,2
KEL305_whole_blood,2
KEL306_whole_blood,2
KEL307_whole_blood,2
KEL308_whole_blood,2
KEL309_whole_blood,2
KEL390_whole_blood,2
KEL311_whole_blood,2
MLB2_whole_blood,2
MLB3_whole_blood,2
MLB4_whole_blood,2
MLB5_whole_blood,2
MLB6_whole_blood,2
MLB7_whole_blood,2
MLB8_whole_blood,2
MLB9_whole_blood,2
AMB154_whole_blood,2
AMB155_whole_blood,2
MNG1_whole_blood,2
MNG2_whole_blood,2
MNG3_whole_blood,2
AMB156_whole_blood,2
AMB157_whole_blood,2
MLB1_whole_blood,2
AMB123_whole_blood,2
AMB124_whole_blood,2
AMB125_whole_blood,2
AMB126_whole_blood,2
AMB127_whole_blood,2
AMB128_whole_blood,2
AMB129_whole_blood,2
AMB153_whole_blood,2
AMB159_whole_blood,2
AMB160_whole_blood,2
AMB161_whole_blood,2
AMB162_whole_blood,2
AMB165_whole_blood,2
AMB166_whole_blood,2
AMB167_whole_blood,2
MIZ164_whole_blood,2
MIZ165_whole_blood,2
MIZ166_whole_blood,2
MIZ167_whole_blood,2
MIZ148_whole_blood,2
