,sample_name,plate,sampleID,flag_A,flag_B
289,KEL270_urine,2,KEL270,0,0
290,KEL270_whole_blood,2,KEL270,0,0
292,KEL271_urine,2,KEL271,0,0
293,KEL271_whole_blood,2,KEL271,0,0
294,KEL272_whole_blood,2,KEL272,0,0
296,KEL273_urine,2,KEL273,0,0
297,KEL273_whole_blood,2,KEL273,0,0
299,KEL274_whole_blood,2,KEL274,0,0
302,KEL275_urine,2,KEL275,0,0
303,KEL275_whole_blood,2,KEL275,0,0
306,KEL276_whole_blood,2,KEL276,0,0
307,KEL277_whole_blood,2,KEL277,0,0
308,KEL278_urine,2,KEL278,0,0
309,KEL278_whole_blood,2,KEL278,0,0
311,KEL279_urine,2,KEL279,0,0
312,KEL279_whole_blood,2,KEL279,0,0
313,KEL279_whole_blood,4,KEL279,0,0
314,KEL279_whole_blood,4,KEL279,0,0
316,KEL280_whole_blood,2,KEL280,0,0
319,KEL281_whole_blood,2,KEL281,0,0
320,KEL281_whole_blood,4,KEL281,0,0
322,KEL282_whole_blood,4,KEL282,0,0
323,KEL283_whole_blood,4,KEL283,0,0
326,KEL284_whole_blood,4,KEL284,0,0
328,KEL285_urine,2,KEL285,0,0
329,KEL285_whole_blood,4,KEL285,0,0
331,KEL286_whole_blood,3,KEL286,0,0
333,KEL287_urine,2,KEL287,0,0
334,KEL287_whole_blood,3,KEL287,0,0
336,KEL288_whole_blood,3,KEL288,0,0
338,KEL289_urine,2,KEL289,0,0
339,KEL289_whole_blood,3,KEL289,0,0
341,KEL290_urine,2,KEL290,0,0
342,KEL290_whole_blood,4,KEL290,0,0
343,KEL291_urine,2,KEL291,0,0
344,KEL291_whole_blood,4,KEL291,0,0
345,KEL291_whole_blood,4,KEL291,0,0
347,KEL292_whole_blood,2,KEL292,0,0
348,KEL292_whole_blood,4,KEL292,0,0
349,KEL293_urine,2,KEL293,0,0
350,KEL293_whole_blood,2,KEL293,0,0
351,KEL293_whole_blood,4,KEL293,0,0
352,KEL294_whole_blood,2,KEL294,0,0
354,KEL295_urine,2,KEL295,0,0
355,KEL295_whole_blood,2,KEL295,0,0
356,KEL295_whole_blood,4,KEL295,0,0
357,KEL296_urine,2,KEL296,0,0
358,KEL296_whole_blood,2,KEL296,0,0
359,KEL296_whole_blood,4,KEL296,0,0
360,KEL297_whole_blood,4,KEL297,0,0
361,KEL297_whole_blood-1,2,KEL297,0,0
362,KEL298_urine,2,KEL298,0,0
363,KEL298_whole_blood,2,KEL298,0,0
364,KEL298_whole_blood-2,2,KEL298,0,0
365,KEL299_urine,2,KEL299,0,0
366,KEL299_whole_blood,2,KEL299,0,0
368,KEL305_urine,2,KEL305,0,0
369,KEL305_whole_blood,2,KEL305,0,0
370,KEL306_urine,2,KEL306,0,0
371,KEL306_whole_blood,2,KEL306,0,0
372,KEL307_whole_blood,2,KEL307,0,0
373,KEL308_whole_blood,2,KEL308,0,0
374,KEL309_urine,2,KEL309,0,0
375,KEL309_whole_blood,2,KEL309,0,0
376,KEL310_urine,2,KEL310,0,0
377,KEL311_whole_blood,2,KEL311,0,0
