age,age_class,sick,strain
1.685374831,1,0,NA
2.011821317,1,0,NA
2.344301492,1,0,NA
2.611943057,1,0,NA
4.145696598,1,0,NA
4.319158827,1,0,NA
4.319158827,1,0,NA
4.493246146,1,0,NA
4.662362337,1,0,NA
4.784124667,1,0,NA
5.195937499,1,0,NA
5.72974601,1,0,NA
5.800549091,1,0,NA
6.016874218,1,0,NA
6.088923715,1,0,NA
6.269518986,1,0,NA
6.585060952,1,NA,NA
8.113604662,1,0,NA
8.680842241,1,0,NA
9.062734971,1,0,NA
9.21809972,1,0,NA
9.351920245,1,0,NA
9.641294925,1,0,NA
9.75784306,1,0,NA
10.47031667,1,0,NA
10.81962599,1,1,phoceensis
11.09875533,1,0,NA
11.21887768,1,0,NA
11.40502718,1,0,NA
11.824011,1,0,NA
12.23168582,1,0,NA
12.43682064,1,0,NA
13.05750385,1,0,NA
13.89768466,1,0,NA
14.11003304,1,0,NA
14.75273669,1,0,NA
14.75273669,1,0,NA
15.84328365,2,0,NA
16.06437868,2,0,NA
16.06437868,2,1,phoceensis
16.5991721,2,1,elizabethae
18.89348637,2,0,NA
19.27090375,2,0,NA
19.60358017,2,0,NA
19.7468601,2,0,NA
20.22755241,2,0,NA
21.45063492,2,1,phoceensis
21.45063492,2,0,NA
21.60291587,2,1,elizabethae
21.81925828,2,0,NA
21.9486721,2,0,NA
22.04889865,2,1,elizabethae
22.45189726,2,1,phoceensis
24.25564946,2,0,NA
24.30818799,2,1,phoceensis
25.31743239,2,1,elizabethae
25.586565,2,0,NA
25.74752932,2,0,NA
26.4030776,2,0,NA
26.4030776,2,0,NA
26.67834432,2,0,NA
26.67834432,2,0,NA
26.84172786,2,1,elizabethae
27.27673091,2,1,phoceensis
27.79536932,2,1,phoceensis
27.85190435,2,0,NA
28.10924623,2,0,NA
28.10924623,2,0,NA
28.36371915,2,1,phoceensis
28.65042135,2,0,NA
29.36020112,2,1,elizabethae
29.81455428,2,1,phoceensis
30.58656742,3,0,NA
30.69649765,3,1,elizabethae
30.70644137,3,0,NA
30.70644137,3,0,NA
31.16781045,3,1,phoceensis
32.54118766,3,0,NA
32.72855381,3,0,NA
32.93639719,3,1,elizabethae
33.6512871,3,0,NA
33.80424467,3,0,NA
34.44837659,3,1,phoceensis
34.60239604,3,1,elizabethae
34.88573514,3,0,NA
35.03553116,3,1,elizabethae
35.62990997,3,0,NA
35.76299319,3,0,NA
35.76299319,3,1,phoceensis
36.43396479,3,1,elizabethae
37.81446083,3,0,NA
38.85209521,3,1,elizabethae
39.57429476,3,0,NA
41.41136701,3,0,NA
42.23799675,3,1,phoceensis
42.23799675,3,0,NA
42.39498646,3,0,NA
42.50343247,3,1,phoceensis
42.85580883,3,0,NA
42.93304174,3,0,NA
43.2432141,3,0,NA
43.58000468,3,1,elizabethae
44.34477405,3,1,phoceensis
44.89039822,3,1,elizabethae
44.90511877,3,0,NA
44.96036084,3,0,NA
45.03042492,4,0,NA
45.17085868,4,0,NA
46.52574364,4,0,NA
46.96161889,4,1,phoceensis
47.10778898,4,1,elizabethae
47.3830557,4,0,NA
47.47516093,4,1,phoceensis
47.80868999,4,0,NA
47.80868999,4,0,NA
47.84534802,4,1,phoceensis
49.54974972,4,0,NA
49.81742505,4,0,NA
50.99288885,4,1,phoceensis
51.81820301,4,0,NA
55.48413042,4,1,elizabethae
57.52307138,4,1,phoceensis
58.80280343,4,1,phoceensis
59.46867037,4,0,NA
61.29914736,5,0,NA
62.13579239,5,0,NA
62.4920272,5,0,NA
63.81844489,5,1,phoceensis
64.49280516,5,1,elizabethae
66.36721241,5,0,NA
69.87187041,5,1,phoceensis
70.22492323,5,1,phoceensis
72.20208389,5,0,NA
75.27268686,6,0,NA
77.75062379,6,0,NA
77.75062379,6,1,phoceensis
78.44573188,6,0,NA
78.87601329,6,1,elizabethae
84.39899953,6,1,phoceensis
91.22639154,6,1,phoceensis
92.67125517,6,1,phoceensis
93.37381969,6,0,NA
97.49748389,6,1,elizabethae
100.1808464,6,1,phoceensis
100.4561131,6,0,NA
105.8293322,6,0,NA
110.1442155,6,1,phoceensis
110.687021,6,1,phoceensis
118.7889451,6,1,phoceensis
122.6557426,6,1,phoceensis
129.0618609,6,0,NA
141.6433072,6,1,phoceensis
148.6942209,6,1,phoceensis
148.6942209,6,0,NA
209.214171,6,1,phoceensis
223.1118557,6,0,NA
353.9355369,6,0,NA
360.7425636,6,1,phoceensis
