#,coder,village_code,land_use_type,LUT,plotcode,tree.id,no_of_stems,stem_ID,growth_type,family_fieldname,genus_fieldname,species_fieldname,,dbh,height,wood.density,coll.nr,Pnumber,Family,scientific_name,CS,EN,phenology,reproduction,health_status,crown_height,human_damage,tutor,notes,
2503,2503,V2,FF,FF,V2-FF,V2-FF-23,1,V2-FF-23,T,uk,uk,uk,unknown_15,24.2,16.8,11,AP9085A,9085A,Anacardiaceae,Abrahamia,unknown,endemic,e,sterile,fair,storm,no,NA,NA,
2560,2560,V2,FF,FF,V2-FF,V2-FF-80,1,V2-FF-80,T,uk,uk,uk,uk,14.5,4.9,NA,AP9085A,9085A,Anacardiaceae,Abrahamia,unknown,endemic,e,sterile,poor,human,stem,NA,NA,
3793,3793,V40,FF,FF,V40-FF,V40-FF-100,1,V40-FF-100,T,uk,uk,uk,tarantana md,8.5,3.4,NA,AP9059,9059,Anacardiaceae,Abrahamia,uk,endemic,e,sterile,poor,human,stem,NA,NA,
1231,1231,MT,OGF1,OGF,MT-OGF1,MT-OGF1-60,1,MT-OGF1-60,T,uk,uk,uk,tarantana br,8.1,9.2,10,AP9174,9174,Anacardiaceae,Abrahamia cf. elongata Randrian. & Lowry ,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
447,447,ME,OGF2,OGF,ME-OGF2,ME-OGF2-183,1,ME-OGF2-183,T,uk,uk,uk,tarantana br,12.5,9.4,10,AP9330,9330,Anacardiaceae,Abrahamia cf. elongata Randrian. & Lowry ,LC,endemic,e,sterile,fair,storm,no,NA,inclined and too covered by lianas,
971,971,ME,OGF5,OGF,ME-OGF5,ME-OGF5-42,1,ME-OGF5-42,T,uk,uk,uk,tarantana (hafa),11.6,10.2,NA,AP9401,9401,Anacardiaceae,Abrahamia elongata Randrian. & Lowry,LC,endemic,e,sterile,poor,storm,no,NA,crown cut,
975,975,ME,OGF5,OGF,ME-OGF5,ME-OGF5-46,1,ME-OGF5-46,T,uk,uk,uk,tarantana (hafa),16.6,11.6,NA,AP9401,9401,Anacardiaceae,Abrahamia elongata Randrian. & Lowry,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
3213,3213,V39,FF,FF,V39-FF,V39-FF-25,1,V39-FF-25,T,uk,uk,uk,tarantana,10.7,8.4,8,AP9238,9238,Anacardiaceae,Abrahamia thouvenotii (Lecomte) Randrian. & Lowry,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
3319,3319,V39,FF,FF,V39-FF,V39-FF-131,1,V39-FF-131,T,uk,uk,uk,tarantana,10.5,8.9,12,NV,,Anacardiaceae,Abrahamia thouvenotii (Lecomte) Randrian. & Lowry,LC,introduced,e,sterile,good,undamaged,no,NA,NA,
28,28,ME,OGF1,OGF,ME-OGF1,ME-OGF1-28,1,ME-OGF1-28,T,Anacardiaceae,Campnosperma,uk,tarantana md,12.1,12.1,16,AP9345,9345,Anacardiaceae,Campnosperma cf. schatzii Randrian. & J.S. Mill.,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
