#,coder,village_code,land_use_type,LUT,plotcode,tree.id,no_of_stems,stem_ID,growth_type,family_fieldname,genus_fieldname,species_fieldname,,dbh,height,wood.density,coll.nr,Pnumber,Family,scientific_name,CS,EN,phenology,reproduction,health_status,crown_height,human_damage,tutor,notes,
284,284,ME,OGF2,OGF,ME-OGF2,ME-OGF2-20,1,ME-OGF2-20,T,uk,uk,uk,tarantana,10.8,2.1,NA,NV,,Anacardiaceae,Campnosperma cf. schatzii Randrian. & J.S. Mill.,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
332,332,ME,OGF2,OGF,ME-OGF2,ME-OGF2-68,1,ME-OGF2-68,T,Anacardiaceae,Campnosperma,uk,tarantana md,10.3,10.3,14,AP9310,9310,Anacardiaceae,Campnosperma cf. schatzii Randrian. & J.S. Mill.,LC,endemic,e,NA,dead,storm,no,NA,crown cut,
375,375,ME,OGF2,OGF,ME-OGF2,ME-OGF2-111,1,ME-OGF2-111,T,uk,uk,uk,tarantana,21.2,12.6,16,AP9310,9310,Anacardiaceae,Campnosperma cf. schatzii Randrian. & J.S. Mill.,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
2274,2274,V2,VH,VH,V2-VH,V2-VH-23,1,V2-VH-23,T,Anacardiaceae,Campnosperma,uk,uk,13.5,11.6,10,AP9101,9101,Anacardiaceae,Campnosperma cf. schatzii Randrian. & J.S. Mill.,LC,endemic,e,sterile,poor,storm,no,NA,crown cut,
192,192,ME,OGF1,OGF,ME-OGF1,ME-OGF1-192,1,ME-OGF1-192,T,uk,uk,uk,tarantana br,10.5,12.2,NA,AP9366,9366,Anacardiaceae,Campnosperma lepidotum Capuron ex Randrian. & J.S. Mill.,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
1409,1409,MT,OGF2,OGF,MT-OGF2,MT-OGF2-31,1,MT-OGF2-31,T,Anacardiaceae,Campnosperma,uk,tarantana br,12.2,9.8,20,AP9448,9448,Anacardiaceae,Campnosperma lepidotum Capuron ex Randrian. & J.S. Mill.,NT,endemic,e,sterile,good,undamaged,no,NA,NA,
843,843,ME,OGF4,OGF,ME-OGF4,ME-OGF4-85,1,ME-OGF4-85,T,uk,uk,uk,tarantana md,12.2,14.4,NA,AP9433,9433,Anacardiaceae,Campnosperma schatzii Randrian. & J.S. Mill.,NT,endemic,e,sterile,good,undamaged,no,NA,NA,
864,864,ME,OGF4,OGF,ME-OGF4,ME-OGF4-106,1,ME-OGF4-106,T,uk,uk,uk,tarantana md,9,9,19,AP9433,9433,Anacardiaceae,Campnosperma schatzii Randrian. & J.S. Mill.,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
929,929,ME,OGF4,OGF,ME-OGF4,ME-OGF4-171,1,ME-OGF4-171,T,uk,uk,uk,tarantana md,9.8,10.2,NA,AP9433,9433,Anacardiaceae,Campnosperma schatzii Randrian. & J.S. Mill.,LC,endemic,e,sterile,fair,storm,no,NA,#NAME?,
3267,3267,V39,FF,FF,V39-FF,V39-FF-79,1,V39-FF-79,T,uk,uk,uk,tarantana (hafa),31.5,14.6,11,AP9256,9256,Anacardiaceae,Cleistanthus ,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3161,3161,V39,WF,WF,V39-WF,V39-WF-11,1,V39-WF-11,T,Anacardiaceae,Mangifera,indica,manga,8.1,5.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
3163,3163,V39,WF,WF,V39-WF,V39-WF-13,2,V39-WF-13a,T,Anacardiaceae,Mangifera,indica,manga,30.3,9.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
3164,3164,V39,WF,WF,V39-WF,V39-WF-14,2,V39-WF-13a,T,Anacardiaceae,Mangifera,indica,manga,37.2,11.2,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
3187,3187,V39,WF,WF,V39-WF,V39-WF-37,1,V39-WF-37,T,Anacardiaceae,Mangifera,indica,manga,8.2,5.6,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
3384,3384,V39,VM,VM,V39-VM,V39-VM-45,1,V39-VM-45,T,Anacardiaceae,Mangifera,indica,manga,37.1,14.4,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
3385,3385,V39,VM,VM,V39-VM,V39-VM-46,1,V39-VM-46,T,Anacardiaceae,Mangifera,indica,manga,24.6,12.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
3387,3387,V39,VM,VM,V39-VM,V39-VM-48,1,V39-VM-48,T,Anacardiaceae,Mangifera,indica,manga,37.3,11.1,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
3390,3390,V39,VM,VM,V39-VM,V39-VM-51,1,V39-VM-51,T,Anacardiaceae,Mangifera,indica,manga,64.7,16.2,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,Yellow latex,
3400,3400,V39,VM,VM,V39-VM,V39-VM-61,1,V39-VM-61,T,Anacardiaceae,Mangifera,indica,manga,31.3,13.2,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
3997,3997,V45,VH,VH,V45-VH,V45-VH-3,1,V45-VH-3,T,Anacardiaceae,Mangifera,indica,manga,22.4,8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
4005,4005,V45,VH,VH,V45-VH,V45-VH-11,1,V45-VH-11,T,Anacardiaceae,Mangifera,indica,manga,10.7,8.4,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits,good,undamaged,no,NA,NA,
4006,4006,V45,VH,VH,V45-VH,V45-VH-12,1,V45-VH-12,T,Anacardiaceae,Mangifera,indica,manga,18.9,10.7,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits,good,undamaged,no,NA,NA,
4009,4009,V45,VH,VH,V45-VH,V45-VH-15,1,V45-VH-15,T,Anacardiaceae,Mangifera,indica,manga,10.7,8.9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
4012,4012,V45,VH,VH,V45-VH,V45-VH-18,1,V45-VH-18,T,Anacardiaceae,Mangifera,indica,manga,18.3,7.7,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits,good,undamaged,no,NA,NA,
4053,4053,V45,VH,VH,V45-VH,V45-VH-59,1,V45-VH-59,T,Anacardiaceae,Mangifera,indica,manga,27,8.6,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits,good,undamaged,no,NA,NA,
4100,4100,V45,VH,VH,V45-VH,V45-VH-106,1,V45-VH-106,T,Anacardiaceae,Mangifera,indica,manga,23.6,7.9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits,good,undamaged,no,NA,NA,
4120,4120,V45,VH,VH,V45-VH,V45-VH-126,1,V45-VH-126,T,Anacardiaceae,Mangifera,indica,manga,26.4,10,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
4127,4127,V45,VH,VH,V45-VH,V45-VH-133,2,V45-VH-133a,T,Anacardiaceae,Mangifera,indica,manga,28.9,9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits,good,undamaged,no,NA,NA,
4128,4128,V45,VH,VH,V45-VH,V45-VH-134,2,V45-VH-133a,T,Anacardiaceae,Mangifera,indica,manga,20.6,9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,NA,dead,human,stem,NA,bark removed,
4134,4134,V45,VM,VM,V45-VM,V45-VM-5,2,V45-VM-5a,T,Anacardiaceae,Mangifera,indica,manga,52.2,15.2,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,NA,poor,human,stem,NA,bark removed,
4135,4135,V45,VM,VM,V45-VM,V45-VM-6,2,V45-VM-5a,T,Anacardiaceae,Mangifera,indica,manga,27.5,16.9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,NA,poor,human,stem,NA,NA,
4136,4136,V45,VM,VM,V45-VM,V45-VM-7,2,V45-VM-7a,T,Anacardiaceae,Mangifera,indica,manga,53.8,17.9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,dead,human,stem,NA,bark removed,
4137,4137,V45,VM,VM,V45-VM,V45-VM-8,2,V45-VM-7a,T,Anacardiaceae,Mangifera,indica,manga,54.7,17.9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,NA,dead,human,stem,NA,bark removed,
4151,4151,V45,VM,VM,V45-VM,V45-VM-22,1,V45-VM-22,T,Anacardiaceae,Mangifera,indica,manga,51.4,18.4,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,NA,dead,human,stem,NA,bark removed,
4152,4152,V45,VM,VM,V45-VM,V45-VM-23,1,V45-VM-23,T,Anacardiaceae,Mangifera,indica,manga,46.8,12,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,poor,human,stem,NA,bark removed,
4154,4154,V45,VM,VM,V45-VM,V45-VM-25,2,V45-VM-25a,T,Anacardiaceae,Mangifera,indica,manga,48.9,9.5,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,flowers,good,undamaged,no,NA,NA,
4155,4155,V45,VM,VM,V45-VM,V45-VM-26,2,V45-VM-25a,T,Anacardiaceae,Mangifera,indica,manga,19.2,4.4,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
4466,4466,V47,VM,VM,V47-VM,V47-VM-31,1,V47-VM-31,T,Anacardiaceae,Mangifera,indica,manga,13.3,5.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,flowers,good,undamaged,no,NA,NA,
4475,4475,V47,VM,VM,V47-VM,V47-VM-40,4,V47-VM-40a,T,Anacardiaceae,Mangifera,indica,manga,29,11.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits_flowers,good,undamaged,no,NA,NA,
4476,4476,V47,VM,VM,V47-VM,V47-VM-41,4,V47-VM-40a,T,Anacardiaceae,Mangifera,indica,manga,14.8,4.4,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits_flowers,good,undamaged,no,NA,NA,
4477,4477,V47,VM,VM,V47-VM,V47-VM-42,4,V47-VM-40a,T,Anacardiaceae,Mangifera,indica,manga,33.4,11.5,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits_flowers,good,undamaged,no,NA,NA,
4478,4478,V47,VM,VM,V47-VM,V47-VM-43,4,V47-VM-40a,T,Anacardiaceae,Mangifera,indica,manga,37,10.2,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits_flowers,good,undamaged,no,NA,NA,
4502,4502,V47,WF,WF,V47-WF,V47-WF-4,1,V47-WF-4,T,Anacardiaceae,Mangifera,indica,manga,30.5,9.6,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits_flowers,good,undamaged,no,NA,NA,
4551,4551,V47,WF,WF,V47-WF,V47-WF-53,1,V47-WF-53,T,Anacardiaceae,Mangifera,indica,manga,15.3,7.6,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits_flowers,good,undamaged,no,NA,NA,
4666,4666,V47,FF,FF,V47-FF,V47-FF-110,1,V47-FF-110,T,Anacardiaceae,Mangifera,indica,manga,35.7,11.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,flowers,good,undamaged,no,NA,NA,
4742,4742,V7,VH,VH,V7-VH,V7-VH-8,1,V7-VH-8,T,Anacardiaceae,Mangifera,indica,manga,36.5,10.4,16,AP8897,8897,Anacardiaceae,Mangifera indica,LC,naturalized,e,flowers,good,undamaged,no,NA,NA,
4743,4743,V7,VH,VH,V7-VH,V7-VH-9,1,V7-VH-9,T,Anacardiaceae,Mangifera,indica,manga,34.7,10.7,16,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
4789,4789,V7,VH,VH,V7-VH,V7-VH-55,1,V7-VH-55,T,Anacardiaceae,Mangifera,indica,manga,25.2,8.3,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,poor,human,stem,NA,bark removed,
4854,4854,V7,VH,VH,V7-VH,V7-VH-120,1,V7-VH-120,T,Anacardiaceae,Mangifera,indica,manga,36.9,12.7,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,poor,human,stem,NA,bark removed,
4887,4887,V7,VH,VH,V7-VH,V7-VH-153,1,V7-VH-153,T,Anacardiaceae,Mangifera,indica,manga,18.1,9.3,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,poor,human,stem,NA,bark removed,
4889,4889,V7,VH,VH,V7-VH,V7-VH-155,2,V7-VH-155a,T,Anacardiaceae,Mangifera,indica,manga,20.3,6.2,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,poor,human,stem,NA,bark removed,
4890,4890,V7,VH,VH,V7-VH,V7-VH-156,2,V7-VH-155a,T,Anacardiaceae,Mangifera,indica,manga,8.2,3.4,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,fruits,good,undamaged,no,NA,NA,
4907,4907,V7,VM,VM,V7-VM,V7-VM-8,1,V7-VM-8,T,Anacardiaceae,Mangifera,indica,manga,8.1,6.2,12,AP8897,8897,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5273,5273,V7,WF,WF,V7-WF,V7-WF-98,1,V7-WF-98,T,Anacardiaceae,Mangifera,indica,manga,14.1,5.3,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5565,5565,V24,VM,VM,V24-VM,V24-VM-2,1,V24-VM-2,T,Anacardiaceae,Mangifera,indica,manga,8.1,5.7,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,NA,fair,undamaged,stem,NA,NA,
5580,5580,V24,VM,VM,V24-VM,V24-VM-17,3,V24-VM-17a,T,Anacardiaceae,Mangifera,indica,manga,55,15.5,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,flowers,good,undamaged,no,NA,NA,
5581,5581,V24,VM,VM,V24-VM,V24-VM-18,3,V24-VM-17a,T,Anacardiaceae,Mangifera,indica,manga,42.5,15.5,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5582,5582,V24,VM,VM,V24-VM,V24-VM-19,3,V24-VM-17a,T,Anacardiaceae,Mangifera,indica,manga,45.6,15.5,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5585,5585,V24,VM,VM,V24-VM,V24-VM-22,1,V24-VM-22,T,Anacardiaceae,Mangifera,indica,manga,18,4.9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5593,5593,V24,VM,VM,V24-VM,V24-VM-30,3,V24-VM-30a,T,Anacardiaceae,Mangifera,indica,manga,27.2,12.3,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5594,5594,V24,VM,VM,V24-VM,V24-VM-31,3,V24-VM-30a,T,Anacardiaceae,Mangifera,indica,manga,40.2,12.3,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5595,5595,V24,VM,VM,V24-VM,V24-VM-32,3,V24-VM-30a,T,Anacardiaceae,Mangifera,indica,manga,30.7,12.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5948,5948,V8,VM,VM,V8-VM,V8-VM-6,1,V8-VM-6,T,uk,uk,uk,manga,59.2,10.3,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
5985,5985,V8,VM,VM,V8-VM,V8-VM-43,1,V8-VM-43,T,uk,uk,uk,manga,69.5,11.5,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
6079,6079,V8,VM,VM,V8-VM,V8-VM-137,1,V8-VM-137,T,uk,uk,uk,manga,18.4,7.7,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
6242,6242,V13,VM,VM,V13-VM,V13-VM-22,2,V13-VM-22a,T,uk,uk,uk,manga,21.9,9.3,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
6243,6243,V13,VM,VM,V13-VM,V13-VM-23,2,V13-VM-22a,T,uk,uk,uk,manga,19,7.9,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
6278,6278,V13,VM,VM,V13-VM,V13-VM-58,1,V13-VM-58,T,uk,uk,uk,manga,27.3,10.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,tutor,NA,
6279,6279,V13,VM,VM,V13-VM,V13-VM-59,1,V13-VM-59,T,uk,uk,uk,manga,26.8,10.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
6287,6287,V13,VM,VM,V13-VM,V13-VM-67,1,V13-VM-67,T,uk,uk,uk,manga,8.6,6.3,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
6378,6378,V13,VH,VH,V13-VH,V13-VH-85,1,V13-VH-85,T,uk,uk,uk,manga,10.7,7.2,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
6379,6379,V13,VH,VH,V13-VH,V13-VH-86,1,V13-VH-86,T,uk,uk,uk,manga,11.4,5.8,NA,NV,,Anacardiaceae,Mangifera indica,LC,naturalized,e,sterile,good,undamaged,no,NA,NA,
4963,4963,V7,FF,FF,V7-FF,V7-FF-18,1,V7-FF-18,T,Anacardiaceae,Poupartia,uk,sakoagna,18.5,12.3,10,AP8918,8918,Anacardiaceae,Poupartia cf.chapelieri (Guillaumin) H. Perrier,LC,endemic,d,sterile,good,undamaged,no,NA,smelllike lemon and cucumber,
2370,2370,V2,VH,VH,V2-VH,V2-VH-119,1,V2-VH-119,T,uk,uk,uk,uk,19.9,11.5,10,AP9112,9112,Anacardiaceae,Poupartia chapelieri (Guillaumin) H. Perrier,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
2625,2625,V25,VH,VH,V25-VH,V25-VH-33,1,V25-VH-33,T,uk,uk,uk,ratsitaigna,35.7,15.5,NA,NV,,Anacardiaceae,Poupartia chapelieri (Guillaumin) H. Perrier,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
2632,2632,V25,VH,VH,V25-VH,V25-VH-40,1,V25-VH-40,T,uk,uk,uk,ratsitaigna,22.6,8.3,NA,NV,,Anacardiaceae,Poupartia chapelieri (Guillaumin) H. Perrier,LC,endemic,e,sterile,fair,storm,no,NA,liying down. some branches are broken. with shoots alive in good shape,
3613,3613,V40,VM,VM,V40-VM,V40-VM-46,1,V40-VM-46,T,uk,Poupartia,uk,ratsitaigna,37.6,16,11,AP9010,9010,Anacardiaceae,Poupartia chapelieri (Guillaumin) H. Perrier,LC,endemic,e,sterile,fair,storm,no,NA,NA,
3678,3678,V40,VM,VM,V40-VM,V40-VM-111,1,V40-VM-111,T,uk,Poupartia,uk,ratsitaigna,20.6,13.8,8,AP9010,9010,Anacardiaceae,Poupartia chapelieri (Guillaumin) H. Perrier,LC,endemic,e,flowers,fair,storm,no,NA,Crown cut,
3719,3719,V40,FF,FF,V40-FF,V40-FF-26,1,V40-FF-26,T,uk,uk,uk,ratsitaigna,23.8,16.8,10,NV,,Anacardiaceae,Poupartia chapelieri (Guillaumin) H. Perrier,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
5047,5047,V7,FF,FF,V7-FF,V7-FF-102,1,V7-FF-102,T,uk,uk,uk,ratsitaigna,15.9,6,11,NV,,Anacardiaceae,Poupartia chapelieri (Guillaumin) H. Perrier,LC,endemic,e,sterile,poor,storm,no,NA,NA,
5049,5049,V7,FF,FF,V7-FF,V7-FF-104,1,V7-FF-104,T,uk,uk,uk,ratsitaigna,22,3.8,13,NV,,Anacardiaceae,Poupartia chapelieri (Guillaumin) H. Perrier,LC,endemic,e,sterile,poor,storm,no,NA,NA,
4714,4714,V47,FF,FF,V47-FF,V47-FF-158,1,V47-FF-158,T,uk,Poupartia,uk,sakoagnala,26,18.5,9,AP9139,9139,Anacardiaceae,Poupartia minor (Bojer) Marchand,LC,endemic,e,sterile,fair,storm,no,NA,branches cut,
52,52,ME,OGF1,OGF,ME-OGF1,ME-OGF1-52,1,ME-OGF1-52,T,uk,uk,uk,tarantana md,21.2,7.7,15,AP9349,9349,Anacardiaceae,Protorhus,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
600,600,ME,OGF3,OGF,ME-OGF3,ME-OGF3-92,1,ME-OGF3-92,T,uk,uk,uk,tarantana,9.2,10.9,NA,AP9349,9349,Anacardiaceae,Protorhus,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
763,763,ME,OGF4,OGF,ME-OGF4,ME-OGF4-5,1,ME-OGF4-5,T,uk,uk,uk,tarantana md,9.5,10,12,AP9423,9423,Anacardiaceae,Protorhus,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
1977,1977,MT,OGF4,OGF,MT-OGF4,MT-OGF4-147,1,MT-OGF4-147,T,uk,uk,uk,tarantana md,8,9.7,11,AP9511,9511,Anacardiaceae,Protorhus,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3275,3275,V39,FF,FF,V39-FF,V39-FF-87,1,V39-FF-87,T,uk,uk,uk,tarantana (hafahafa),31,14.3,9,AP9253,9253,Anacardiaceae,Protorhus,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3076,3076,V39,VH,VH,V39-VH,V39-VH-41,1,V39-VH-41,T,uk,uk,uk,tarantana br,36.7,19,9,NV,9287,Anacardiaceae,Rhus  cf. thouarsii (Engl.) H. Perrier ,LC,endemic,e,sterile,good,undamaged,no,NA,NA,
2595,2595,V25,VH,VH,V25-VH,V25-VH-3,1,V25-VH-3,T,uk,uk,uk,voasorindrina,9.8,8.7,NA,NV,,Anacardiaceae,Sorindeia,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2602,2602,V25,VH,VH,V25-VH,V25-VH-10,1,V25-VH-10,T,uk,uk,uk,voasorindrina,18,9.9,NA,NV,,Anacardiaceae,Sorindeia,unknown,not endemic,e,sterile,fair,undamaged,no,NA,inclined and superposed by another tree,
3340,3340,V39,VM,VM,V39-VM,V39-VM-1,1,V39-VM-1,T,uk,uk,uk,voasorindrina,14.1,6.5,NA,NV,,Anacardiaceae,Sorindeia,unknown,not endemic,e,flowers,good,undamaged,no,NA,NA,
3397,3397,V39,VM,VM,V39-VM,V39-VM-58,1,V39-VM-58,T,uk,uk,uk,voasorindrina,10.4,2.9,NA,NV,,Anacardiaceae,Sorindeia,unknown,not endemic,e,flowers,good,undamaged,no,NA,NA,
3908,3908,V40,VL,VL,V40-VL,V40-VL-3,1,V40-VL-3,T,uk,uk,uk,voasorindrina,10.6,3.5,NA,NV,,Anacardiaceae,Sorindeia,unknown,not endemic,e,fruits,good,undamaged,no,NA,NA,
4703,4703,V47,FF,FF,V47-FF,V47-FF-147,1,V47-FF-147,T,uk,uk,uk,voasorindrina,8.2,9.4,8,NV,,Anacardiaceae,Sorindeia,unknown,not endemic,e,fruits,good,undamaged,no,tutor,NA,
4718,4718,V47,FF,FF,V47-FF,V47-FF-162,1,V47-FF-162,T,uk,Sorindea,uk,voasorindrina,10,11.1,20,NV,,Anacardiaceae,Sorindeia,unknown,not endemic,e,sterile,fair,storm,no,NA,NA,
5115,5115,V7,VL,VL,V7-VL,V7-VL-60,2,V7-VL-59a,T,Anacardiaceae,Sorindeia,uk,voasorindrina,13.8,6.7,11,NV,,Anacardiaceae,Sorindeia,unknown,not endemic,e,flowers,good,undamaged,no,NA,NA,
