"Date","year","month","csb","outpatient","staff","ref","time","int.type","int1","int2"
"2013-01-31",2013,1,"CSB.A",613,2,0,0.0833333333333333,1,0,0
"2013-02-28",2013,2,"CSB.A",413,2,0,0.166666666666667,1,0,0
"2013-03-31",2013,3,"CSB.A",468,2,0,0.25,1,0,0
"2013-04-30",2013,4,"CSB.A",496,2,0,0.333333333333333,1,0,0
"2013-05-31",2013,5,"CSB.A",456,2,0,0.416666666666667,1,0,0
"2013-06-30",2013,6,"CSB.A",418,2,0,0.5,1,0,0
"2013-07-31",2013,7,"CSB.A",487,2,0,0.583333333333333,1,0,0
"2013-08-31",2013,8,"CSB.A",311,2,0,0.666666666666667,1,0,0
"2013-09-30",2013,9,"CSB.A",301,2,0,0.75,1,0,0
"2013-10-31",2013,10,"CSB.A",409,2,0,0.833333333333333,1,0,0
"2013-11-30",2013,11,"CSB.A",547,2,0,0.916666666666667,1,0,0
"2013-12-31",2013,12,"CSB.A",815,2,0,1,1,0,0
"2014-01-31",2014,1,"CSB.A",1186,2,0,1.08333333333333,1,0,0
"2014-02-28",2014,2,"CSB.A",1186,2,0,1.16666666666667,1,1,0
"2014-03-31",2014,3,"CSB.A",855,2,0,1.25,1,1,0
"2014-04-30",2014,4,"CSB.A",735,2,1,1.33333333333333,1,1,0
"2014-05-31",2014,5,"CSB.A",553,2,3,1.41666666666667,1,1,0
"2014-06-30",2014,6,"CSB.A",391,2,4,1.5,1,1,0
"2014-07-31",2014,7,"CSB.A",509,3,5,1.58333333333333,1,1,0
"2014-08-31",2014,8,"CSB.A",473,3,5,1.66666666666667,1,1,0
"2014-09-30",2014,9,"CSB.A",534,3,17,1.75,1,1,0
"2014-10-31",2014,10,"CSB.A",544,3,8,1.83333333333333,1,1,0
"2014-11-30",2014,11,"CSB.A",928,3,11,1.91666666666667,1,1,0
"2014-12-31",2014,12,"CSB.A",1316,3,11,2,1,1,0
"2015-01-31",2015,1,"CSB.A",1478,2,13,2.08333333333333,1,1,0
"2015-02-28",2015,2,"CSB.A",860,2,8,2.16666666666667,1,1,0
"2015-03-31",2015,3,"CSB.A",812,2,13,2.25,1,1,0
"2015-04-30",2015,4,"CSB.A",797,2,7,2.33333333333333,1,1,0
"2015-05-31",2015,5,"CSB.A",823,4,4,2.41666666666667,1,1,0
"2015-06-30",2015,6,"CSB.A",635,2,8,2.5,1,1,0
"2015-07-31",2015,7,"CSB.A",727,2,4,2.58333333333333,1,1,0
"2015-08-31",2015,8,"CSB.A",435,2,4,2.66666666666667,1,1,0
"2015-09-30",2015,9,"CSB.A",394,2,11,2.75,1,1,0
"2015-10-31",2015,10,"CSB.A",380,3,5,2.83333333333333,1,1,0
"2015-11-30",2015,11,"CSB.A",419,3,11,2.91666666666667,1,1,0
"2015-12-31",2015,12,"CSB.A",498,3,7,3,1,1,0
"2013-01-31",2013,1,"CSB.B",NA,0,0,0.0833333333333333,1,0,0
"2013-02-28",2013,2,"CSB.B",NA,0,0,0.166666666666667,1,0,0
"2013-03-31",2013,3,"CSB.B",166,1,0,0.25,1,0,0
"2013-04-30",2013,4,"CSB.B",217,1,0,0.333333333333333,1,0,0
"2013-05-31",2013,5,"CSB.B",103,1,0,0.416666666666667,1,0,0
"2013-06-30",2013,6,"CSB.B",133,1,0,0.5,1,0,0
"2013-07-31",2013,7,"CSB.B",144,1,0,0.583333333333333,1,0,0
"2013-08-31",2013,8,"CSB.B",104,1,0,0.666666666666667,1,0,0
"2013-09-30",2013,9,"CSB.B",71,1,0,0.75,1,0,0
"2013-10-31",2013,10,"CSB.B",70,1,0,0.833333333333333,1,0,0
"2013-11-30",2013,11,"CSB.B",134,1,0,0.916666666666667,1,0,0
"2013-12-31",2013,12,"CSB.B",87,1,0,1,1,0,0
"2014-01-31",2014,1,"CSB.B",149,1,0,1.08333333333333,1,0,0
"2014-02-28",2014,2,"CSB.B",217,1,0,1.16666666666667,1,1,0
"2014-03-31",2014,3,"CSB.B",169,1,0,1.25,1,1,0
"2014-04-30",2014,4,"CSB.B",111,1,0,1.33333333333333,1,1,0
"2014-05-31",2014,5,"CSB.B",144,1,0,1.41666666666667,1,1,0
"2014-06-30",2014,6,"CSB.B",135,1,0,1.5,1,1,0
"2014-07-31",2014,7,"CSB.B",119,1,0,1.58333333333333,1,1,0
"2014-08-31",2014,8,"CSB.B",96,1,0,1.66666666666667,1,1,0
"2014-09-30",2014,9,"CSB.B",49,1,0,1.75,1,1,0
"2014-10-31",2014,10,"CSB.B",104,1,0,1.83333333333333,1,1,0
"2014-11-30",2014,11,"CSB.B",220,1,0,1.91666666666667,1,1,0
"2014-12-31",2014,12,"CSB.B",43,1,0,2,1,1,0
"2015-01-31",2015,1,"CSB.B",108,1,0,2.08333333333333,1,1,0
"2015-02-28",2015,2,"CSB.B",NA,1,0,2.16666666666667,1,1,0
"2015-03-31",2015,3,"CSB.B",141,1,0,2.25,1,1,0
"2015-04-30",2015,4,"CSB.B",340,1,0,2.33333333333333,1,1,0
"2015-05-31",2015,5,"CSB.B",132,1,0,2.41666666666667,1,1,0
"2015-06-30",2015,6,"CSB.B",154,1,0,2.5,1,1,0
"2015-07-31",2015,7,"CSB.B",242,2,0,2.58333333333333,1,1,0
"2015-08-31",2015,8,"CSB.B",150,2,1,2.66666666666667,1,1,0
"2015-09-30",2015,9,"CSB.B",203,2,0,2.75,1,1,0
"2015-10-31",2015,10,"CSB.B",212,2,1,2.83333333333333,1,1,0
"2015-11-30",2015,11,"CSB.B",81,2,0,2.91666666666667,1,1,0
"2015-12-31",2015,12,"CSB.B",215,2,0,3,1,1,0
"2013-01-31",2013,1,"CSB.C",282,2,0,0.0833333333333333,2,0,0
"2013-02-28",2013,2,"CSB.C",220,2,0,0.166666666666667,2,0,0
"2013-03-31",2013,3,"CSB.C",229,2,0,0.25,2,0,0
"2013-04-30",2013,4,"CSB.C",334,2,0,0.333333333333333,2,0,0
"2013-05-31",2013,5,"CSB.C",194,3,0,0.416666666666667,2,0,0
"2013-06-30",2013,6,"CSB.C",128,3,0,0.5,2,0,0
"2013-07-31",2013,7,"CSB.C",183,3,0,0.583333333333333,2,0,0
