"Date","year","month","csb","outpatient","staff","ref","time","int.type","int1","int2"
"2013-08-31",2013,8,"CSB.C",102,3,0,0.666666666666667,2,0,0
"2013-09-30",2013,9,"CSB.C",105,3,0,0.75,2,0,0
"2013-10-31",2013,10,"CSB.C",111,3,0,0.833333333333333,2,0,0
"2013-11-30",2013,11,"CSB.C",135,3,0,0.916666666666667,2,0,0
"2013-12-31",2013,12,"CSB.C",426,3,0,1,2,0,0
"2014-01-31",2014,1,"CSB.C",466,3,0,1.08333333333333,2,0,0
"2014-02-28",2014,2,"CSB.C",699,3,2,1.16666666666667,2,1,0
"2014-03-31",2014,3,"CSB.C",326,3,0,1.25,2,1,0
"2014-04-30",2014,4,"CSB.C",373,3,0,1.33333333333333,2,1,0
"2014-05-31",2014,5,"CSB.C",240,3,4,1.41666666666667,2,1,0
"2014-06-30",2014,6,"CSB.C",227,3,2,1.5,2,1,0
"2014-07-31",2014,7,"CSB.C",284,3,8,1.58333333333333,2,1,0
"2014-08-31",2014,8,"CSB.C",264,3,12,1.66666666666667,2,1,0
"2014-09-30",2014,9,"CSB.C",232,3,10,1.75,2,1,0
"2014-10-31",2014,10,"CSB.C",422,4,10,1.83333333333333,2,1,1
"2014-11-30",2014,11,"CSB.C",606,4,15,1.91666666666667,2,1,1
"2014-12-31",2014,12,"CSB.C",1619,4,6,2,2,1,1
"2015-01-31",2015,1,"CSB.C",1994,4,9,2.08333333333333,2,1,1
"2015-02-28",2015,2,"CSB.C",1654,5,20,2.16666666666667,2,1,1
"2015-03-31",2015,3,"CSB.C",1323,5,8,2.25,2,1,1
"2015-04-30",2015,4,"CSB.C",1751,6,14,2.33333333333333,2,1,1
"2015-05-31",2015,5,"CSB.C",1839,6,7,2.41666666666667,2,1,1
"2015-06-30",2015,6,"CSB.C",1006,6,3,2.5,2,1,1
"2015-07-31",2015,7,"CSB.C",1164,6,4,2.58333333333333,2,1,1
"2015-08-31",2015,8,"CSB.C",856,6,5,2.66666666666667,2,1,1
"2015-09-30",2015,9,"CSB.C",895,6,25,2.75,2,1,1
"2015-10-31",2015,10,"CSB.C",1095,7,6,2.83333333333333,2,1,1
"2015-11-30",2015,11,"CSB.C",1031,7,7,2.91666666666667,2,1,1
"2015-12-31",2015,12,"CSB.C",1111,7,5,3,2,1,1
"2013-01-31",2013,1,"CSB.D",637,3,0,0.0833333333333333,2,0,0
"2013-02-28",2013,2,"CSB.D",473,3,0,0.166666666666667,2,0,0
"2013-03-31",2013,3,"CSB.D",545,3,0,0.25,2,0,0
"2013-04-30",2013,4,"CSB.D",697,3,0,0.333333333333333,2,0,0
"2013-05-31",2013,5,"CSB.D",423,3,0,0.416666666666667,2,0,0
"2013-06-30",2013,6,"CSB.D",212,3,0,0.5,2,0,0
"2013-07-31",2013,7,"CSB.D",333,3,0,0.583333333333333,2,0,0
"2013-08-31",2013,8,"CSB.D",328,3,0,0.666666666666667,2,0,0
"2013-09-30",2013,9,"CSB.D",362,3,0,0.75,2,0,0
"2013-10-31",2013,10,"CSB.D",344,3,0,0.833333333333333,2,0,0
"2013-11-30",2013,11,"CSB.D",478,3,0,0.916666666666667,2,0,0
"2013-12-31",2013,12,"CSB.D",459,3,0,1,2,0,0
"2014-01-31",2014,1,"CSB.D",1106,3,0,1.08333333333333,2,0,0
"2014-02-28",2014,2,"CSB.D",1207,3,0,1.16666666666667,2,1,0
"2014-03-31",2014,3,"CSB.D",754,3,3,1.25,2,1,0
"2014-04-30",2014,4,"CSB.D",424,3,14,1.33333333333333,2,1,0
"2014-05-31",2014,5,"CSB.D",690,3,4,1.41666666666667,2,1,0
"2014-06-30",2014,6,"CSB.D",384,3,5,1.5,2,1,0
"2014-07-31",2014,7,"CSB.D",551,3,7,1.58333333333333,2,1,0
"2014-08-31",2014,8,"CSB.D",451,3,6,1.66666666666667,2,1,0
"2014-09-30",2014,9,"CSB.D",389,3,17,1.75,2,1,0
"2014-10-31",2014,10,"CSB.D",673,3,11,1.83333333333333,2,1,1
"2014-11-30",2014,11,"CSB.D",833,3,20,1.91666666666667,2,1,1
"2014-12-31",2014,12,"CSB.D",920,3,9,2,2,1,1
"2015-01-31",2015,1,"CSB.D",1663,3,18,2.08333333333333,2,1,1
"2015-02-28",2015,2,"CSB.D",1340,3,12,2.16666666666667,2,1,1
"2015-03-31",2015,3,"CSB.D",959,3,8,2.25,2,1,1
"2015-04-30",2015,4,"CSB.D",1077,3,14,2.33333333333333,2,1,1
"2015-05-31",2015,5,"CSB.D",NA,5,9,2.41666666666667,2,1,1
"2015-06-30",2015,6,"CSB.D",NA,5,12,2.5,2,1,1
"2015-07-31",2015,7,"CSB.D",305,6,18,2.58333333333333,2,1,1
"2015-08-31",2015,8,"CSB.D",361,5,9,2.66666666666667,2,1,1
"2015-09-30",2015,9,"CSB.D",435,5,15,2.75,2,1,1
"2015-10-31",2015,10,"CSB.D",343,7,13,2.83333333333333,2,1,1
"2015-11-30",2015,11,"CSB.D",807,7,12,2.91666666666667,2,1,1
"2015-12-31",2015,12,"CSB.D",930,7,17,3,2,1,1
