Date,FS,NumG,Time,GPS,Activity,Support,NumS_D,DistS_D,Can_H,Can_C1,Obs,Can_C2
9/6/18,Varecia_variegata,1,11:21,19,DEF,Famelona,50,5,14,45,NA,
9/6/18,Varecia_variegata,1,11:28,19,DEF,Famelona,NA,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,12:00,20,DEF,Hazondomoina,NA,NA,11,60,NA,
9/6/18,Varecia_variegata,1,12:13,20,DEF,Hazondomoina,NA,NA,12,65,NA,
9/6/18,Varecia_variegata,1,12:18,NA,P,NA,NA,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,13:36,NA,DEF,Afopotsy,13,2,15,7,NA,
9/6/18,Varecia_variegata,1,15:51,NA,DEF,Afopotsy,NA,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,15:54,NA,DEF,Afopotsy,2,2,14,5,NA,
9/6/18,Varecia_variegata,1,16:14,27,DEF,Afopotsy,5,1.5,13,NA,NA,
9/7/18,Varecia_variegata,1,13:56,33,DEF,Varongy_fotsy,NA,3,NA,70,Afopotsy,
9/7/18,Varecia_variegata,1,13:58,NA,DEF,NA,NA,NA,NA,60,NA,
9/7/18,Varecia_variegata,1,15:07,34,DEF,Afopotsy,6,3,15,45,NA,
9/7/18,Varecia_variegata,1,15:16,34,DEF,Tavolo,4,1,14,25,NA,
9/7/18,Varecia_variegata,1,15:58,35,DEF,Ampana,8,1.5,14,25,NA,
9/8/18,Varecia_variegata,1,11:35,38,DEF,Faraloatra,3,2,17,30,NA,NA
9/8/18,Varecia_variegata,1,13:06,39,DEF,Afopotsy,2,15,14,25,NA,NA
9/8/18,Varecia_variegata,1,15:04,41,DEF,Antavaratra,3,3,14,35,NA,NA
9/10/18,Varecia_variegata,1,11:22,46,DEF,Afopotsy,6,2,15,25,NA,NA
9/10/18,Varecia_variegata,1,14:19,48,DEF,Afopotsy,9,2.5,14,45,NA,NA
9/11/18,Varecia_variegata,1,11:09,51,DEF,Fotona,7,2,18,20,NA,NA
9/11/18,Varecia_variegata,1,12:38,52,DEF,Afopotsy,3,2,15,45,NA,NA
9/11/18,Varecia_variegata,1,14:48,52,DEF,Afopotsy,5,2.5,15,45,NA,NA
9/11/18,Varecia_variegata,1,16:06,53,DEF,Faraloatra,10,3,20,45,NA,NA
9/12/18,Varecia_variegata,1,9:12,NA,DEF,Varongy,8,3,12,80,NA,NA
9/12/18,Varecia_variegata,1,10:21,59,DEF,Afopotsy,9,3,19,20,NA,NA
9/12/18,Varecia_variegata,1,10:22,59,DEF,Afopotsy,7,3,19,20,NA,NA
9/12/18,Varecia_variegata,1,11:24,59,DEF,Afopotsy,6,3,19,20,NA,NA
9/12/18,Varecia_variegata,1,11:43,59,DEF,Afopotsy,6,2,19,20,NA,NA
9/12/18,Varecia_variegata,1,12:18,59,DEF,Afopotsy,4,2,18,30,NA,NA
9/12/18,Varecia_variegata,1,14:22,60,DEF,Tavolo,14,3,16,75,NA,NA
9/12/18,Varecia_variegata,1,14:24,60,DEF,Tavolo,10,3,16,75,NA,NA
9/12/18,Varecia_variegata,1,14:26,60,P,Afopotsy,10,3,17,75,NA,NA
9/12/18,Varecia_variegata,1,14:27,60,DEF,Faraloatra,4,2,17,60,NA,NA
9/12/18,Varecia_variegata,1,16:00,61,DEF,Afopotsy,11,3,14,20,NA,NA
