Site,GroupNum,Date,Time,Longitude,Latitude,Altitude
004,1,8/30/18,8:03:18,48.422482,-18.755408,1018.83
005,1,8/30/18,9:10:56,48.42287,-18.755889,1030.02
006,1,8/30/18,9:42:50,48.422618,-18.756119,1043.66
007,1,8/30/18,9:54:25,48.422884,-18.756482,1010.65
AFOPOTSY,1,8/30/18,9:58:36,48.423147,-18.756418,1011.6
008,1,8/30/18,10:55:17,48.423346,-18.755993,1004.66
009,1,8/30/18,11:12:29,48.42337,-18.756139,989.67
010,1,8/30/18,11:25:53,48.423018,-18.757434,1003.12
013,1,9/4/18,11:39:18,48.38671,-18.755783,995.73
014,1,9/4/18,11:45:25,48.386688,-18.755676,988.29
015,1,9/4/18,11:46:00,48.386688,-18.755637,988.7
016,1,9/4/18,11:46:13,48.386692,-18.755627,988.78
017,1,9/4/18,11:49:41,48.386783,-18.755443,987.77
018,1,9/6/18,8:04:44,48.423566,-18.758406,998.91
019,1,9/6/18,8:21:59,48.423438,-18.758319,994.48
020,1,9/6/18,8:32:19,48.42317,-18.758291,993.63
021,1,9/6/18,9:43:06,48.422867,-18.758353,970.91
022,1,9/6/18,9:47:03,48.422749,-18.758522,991.85
023,1,9/6/18,9:58:41,48.422342,-18.758462,965.67
024,1,9/6/18,10:09:06,48.422227,-18.758222,958.6
025,1,9/6/18,10:19:24,48.422172,-18.75816,962.77
026,1,9/6/18,10:32:25,48.421709,-18.757896,961.36
027,1,9/6/18,12:29:16,48.423183,-18.756348,1010.56
028,1,9/6/18,13:27:02,48.422785,-18.756559,1006.69
029,1,9/6/18,13:48:01,48.422307,-18.756612,1023.31
030,1,9/6/18,13:57:01,48.422528,-18.757113,1030.67
031,1,9/7/18,5:38:10,48.422443,-18.757088,1037.1
032,1,9/7/18,10:46:28,48.422501,-18.757038,1030.15
033,1,9/7/18,10:57:59,48.422447,-18.757062,1011.38
034,1,9/7/18,11:06:02,48.423201,-18.756426,1028.89
035,1,9/7/18,12:32:19,48.423362,-18.756098,1027.26
036,1,9/7/18,13:07:12,48.422946,-18.755776,977.61
037,1,9/7/18,14:04:40,48.423182,-18.756468,1028.31
038,1,9/8/18,5:00:44,48.423183,-18.756483,1027
039,1,9/8/18,9:22:18,48.42345,-18.756117,1028
040,1,9/8/18,10:10:38,48.42345,-18.756133,988
041,1,9/8/18,11:34:55,48.373383,-18.75605,989
042,1,9/8/18,13:10:42,48.42345,-18.756133,944
043,1,9/8/18,14:20:00,48.424367,-18.757083,1039
044,1,9/10/18,7:11:16,48.42352,-18.756653,987.88
045,1,9/10/18,7:27:28,48.423539,-18.756564,1006
046,1,9/10/18,7:41:20,48.423218,-18.756364,1017.23
047,1,9/10/18,9:21:00,48.423263,-18.756229,1016.72
048,1,9/10/18,10:38:49,48.423256,-18.756034,993
049,1,9/10/18,11:26:22,48.423417,-18.756283,1005
050,1,9/10/18,14:30:21,48.422683,-18.756617,1040
051,1,9/11/18,5:10:18,48.422717,-18.756617,1038
052,1,9/11/18,8:15:28,48.423167,-18.756367,1018
053,1,9/11/18,12:29:09,48.422634,-18.756447,1027
054,1,9/11/18,14:30:17,48.422706,-18.757163,1043
055,1,9/12/18,5:11:08,48.422754,-18.757122,1034.26
056,1,9/12/18,5:44:48,48.423424,-18.756545,1028.67
057,1,9/12/18,6:00:04,48.423502,-18.756867,1005.74
058,1,9/12/18,6:19:24,48.423602,-18.756922,973.93
059,1,9/12/18,6:24:11,48.423675,-18.757194,1024.32
060,1,9/12/18,9:34:56,48.423413,-18.756605,987.82
061,1,9/12/18,11:41:51,48.423885,-18.757038,1007.82
062,1,9/12/18,13:10:32,48.423669,-18.757108,984.96
